ISO,EnglishNames,FrenchNames
ABW,Aruba,Aruba
AFG,Afghanistan,Afghanistan (l')
AGO,Angola,Angola (l')
AIA,Anguilla,Anguilla
ALA,Åland Islands,Åland(les Îles)
ALB,Albania,Albanie (l')
AND,Andorra,Andorre (l')
ARG,Argentina,Argentine (l')
ARM,Armenia,Arménie (l')
ASM,American Samoa,Samoa américaines (les)
ATA,Antarctica,Antarctique (l')
ATF,French Southern Territories (the),Terres australes françaises (les)
ATG,Antigua and Barbuda,Antigua-et-Barbuda
AUS,Australia,Australie (l')
AUT,Austria,Autriche (l')
AZE,Azerbaijan,Azerbaïdjan (l')
BDI,Burundi,Burundi (le)
BEL,Belgium,Belgique (la)
BEN,Benin,Bénin (le)
BES,"Bonaire, Sint Eustatius and Saba","Bonaire, Saint-Eustache et Saba"
BFA,Burkina Faso,Burkina Faso (le)
BGD,Bangladesh,Bangladesh (le)
BGR,Bulgaria,Bulgarie (la)
BHR,Bahrain,Bahreïn
BHS,Bahamas (the),Bahamas (les)
BIH,Bosnia and Herzegovina,Bosnie-Herzégovine (la)
BLM,Saint Barthélemy,Saint-Barthélemy
BLR,Belarus,Bélarus (le)
BLZ,Belize,Belize (le)
BMU,Bermuda,Bermudes (les)
BOL,Bolivia (Plurinational State of),Bolivie (État plurinational de)
BRA,Brazil,Brésil (le)
BRB,Barbados,Barbade (la)
BRN,Brunei Darussalam,Brunéi Darussalam (le)
BTN,Bhutan,Bhoutan (le)
BVT,Bouvet Island,Bouvet (l'Île)
BWA,Botswana,Botswana (le)
CAF,Central African Republic (the),République centrafricaine (la)
CAN,Canada,Canada (le)
CCK,Cocos (Keeling) Islands (the),Cocos (les Îles)/ Keeling (les Îles)
CHE,Switzerland,Suisse (la)
CHL,Chile,Chili (le)
CHN,China,Chine (la)
CIV,Côte d'Ivoire,Côte d'Ivoire (la)
CMR,Cameroon,Cameroun (le)
COD,Congo (the Democratic Republic of the),Congo (la République démocratique du)
COG,Congo (the),Congo (le)
COK,Cook Islands (the),Cook (les Îles)
COL,Colombia,Colombie (la)
COM,Comoros (the),Comores (les)
CPV,Cabo Verde,Cabo Verde
CRI,Costa Rica,Costa Rica (le)
CUB,Cuba,Cuba
CUW,Curaçao,Curaçao
CXR,Christmas Island,Christmas (l'Île)
CYM,Cayman Islands (the),Caïmans (les Îles)
CYP,Cyprus,Chypre
CZE,Czechia,Tchéquie (la)
DEU,Germany,Allemagne (l')
DJI,Djibouti,Djibouti
DMA,Dominica,Dominique (la)
DNK,Denmark,Danemark (le)
DOM,Dominican Republic (the),dominicaine (la République)
DZA,Algeria,Algérie (l')
ECU,Ecuador,Équateur (l')
EGY,Egypt,Égypte (l')
ERI,Eritrea,Érythrée (l')
ESH,Western Sahara*,Sahara occidental (le)*
ESP,Spain,Espagne (l')
EST,Estonia,Estonie (l')
ETH,Ethiopia,Éthiopie (l')
FIN,Finland,Finlande (la)
FJI,Fiji,Fidji (les)
FLK,Falkland Islands (the) [Malvinas],Falkland (les Îles)/Malouines (les Îles)
FRA,France,France (la)
FRO,Faroe Islands (the),Féroé (les Îles)
FSM,Micronesia (Federated States of),Micronésie (États fédérés de)
GAB,Gabon,Gabon (le)
GBR,United Kingdom of Great Britain and Northern Ireland (the),Royaume-Uni de Grande-Bretagne et d'Irlande du Nord (le)
GEO,Georgia,Géorgie (la)
GGY,Guernsey,Guernesey
GHA,Ghana,Ghana (le)
GIB,Gibraltar,Gibraltar
GIN,Guinea,Guinée (la)
GLP,Guadeloupe,Guadeloupe (la)
GMB,Gambia (the),Gambie (la)
GNB,Guinea-Bissau,Guinée-Bissau (la)
GNQ,Equatorial Guinea,Guinée équatoriale (la)
GRC,Greece,Grèce (la)
GRD,Grenada,Grenade (la)
GRL,Greenland,Groenland (le)
GTM,Guatemala,Guatemala (le)
GUF,French Guiana,Guyane française (la )
GUM,Guam,Guam
GUY,Guyana,Guyana (le)
HKG,Hong Kong,Hong Kong
HMD,Heard Island and McDonald Islands,Heard-et-Îles MacDonald (l'Île)
HND,Honduras,Honduras (le)
HRV,Croatia,Croatie (la)
HTI,Haiti,Haïti
HUN,Hungary,Hongrie (la)
IDN,Indonesia,Indonésie (l')
IMN,Isle of Man,Île de Man
IND,India,Inde (l')
IOT,British Indian Ocean Territory (the),Indien (le Territoire britannique de l'océan)
IRL,Ireland,Irlande (l')
IRN,Iran (Islamic Republic of),Iran (République Islamique d')
IRQ,Iraq,Iraq (l')
ISL,Iceland,Islande (l')
ISR,Israel,Israël
ITA,Italy,Italie (l')
JAM,Jamaica,Jamaïque (la)
JEY,Jersey,Jersey
JOR,Jordan,Jordanie (la)
JPN,Japan,Japon (le)
KAZ,Kazakhstan,Kazakhstan (le)
KEN,Kenya,Kenya (le)
KGZ,Kyrgyzstan,Kirghizistan (le)
KHM,Cambodia,Cambodge (le)
KIR,Kiribati,Kiribati
KNA,Saint Kitts and Nevis,Saint-Kitts-et-Nevis
KOR,Korea (the Republic of),Corée (la République de)
KWT,Kuwait,Koweït (le)
LAO,Lao People's Democratic Republic (the),"Lao, République démocratique populaire"
LBN,Lebanon,Liban (le)
LBR,Liberia,Libéria (le)
LBY,Libya,Libye (la)
LCA,Saint Lucia,Sainte-Lucie
LIE,Liechtenstein,Liechtenstein (le)
LKA,Sri Lanka,Sri Lanka
LSO,Lesotho,Lesotho (le)
LTU,Lithuania,Lituanie (la)
LUX,Luxembourg,Luxembourg (le)
LVA,Latvia,Lettonie (la)
MAC,Macao,Macao
MAF,Saint Martin (French part),Saint-Martin (partie française)
MAR,Morocco,Maroc (le)
MCO,Monaco,Monaco
MDA,Moldova (the Republic of),"Moldova, République de"
MDG,Madagascar,Madagascar
MDV,Maldives,Maldives (les)
MEX,Mexico,Mexique (le)
MHL,Marshall Islands (the),Marshall (Îles)
